Gene_ID	Gene_Name	Rank	PageRank_Score
ENSG00000117450	PRDX1	224	0.000360994896919
ENSG00000113916	BCL6	225	0.000360794666504
ENSG00000181392	SYNE4	226	0.00035951392494
ENSG00000114062	UBE3A	227	0.000358841656255
ENSG00000090273	NUDC	228	0.000358530935327
ENSG00000278259	MYO19	229	0.000358277179847
ENSG00000033800	PIAS1	230	0.000356198033447
ENSG00000157110	RBPMS	231	0.000354962773179
ENSG00000095002	MSH2	232	0.00035489615313
ENSG00000079950	STX7	233	0.000354583718716
ENSG00000115641	FHL2	234	0.00035219095088
ENSG00000004975	DVL2	235	0.000352142332756
ENSG00000132964	CDK8	236	0.00035209898937
ENSG00000100297	MCM5	237	0.000351998383761
ENSG00000124151	NCOA3	238	0.00035192438058
ENSG00000172534	HCFC1	239	0.000349139912631
ENSG00000105329	TGFB1	240	0.000348117320097
ENSG00000051180	RAD51	241	0.000347498826858
ENSG00000186350	RXRA	242	0.000347375710777
ENSG00000178999	AURKB	243	0.000346120757672
ENSG00000196498	NCOR2	244	0.000345888299504
ENSG00000143761	ARF1	245	0.000343833742717
ENSG00000145715	RASA1	246	0.00034121437036
ENSG00000131467	PSME3	247	0.000340600276423
ENSG00000100591	AHSA1	248	0.000340102510805
ENSG00000110330	BIRC2	249	0.000338909602404
ENSG00000171992	SYNPO	250	0.000338409999687
ENSG00000147274	RBMX	251	0.000338370366005
ENSG00000112118	MCM3	252	0.000338365458259
ENSG00000099942	CRKL	253	0.000336622006018
ENSG00000129559	NEDD8	254	0.00033571749032
ENSG00000065361	ERBB3	255	0.000335171965565
ENSG00000099995	SF3A1	256	0.000334830738608
ENSG00000157404	KIT	257	0.000332566764234
ENSG00000114346	ECT2	258	0.00033247819384
ENSG00000116750	UCHL5	259	0.00033180541283
ENSG00000114107	CEP70	260	0.000331630616223
ENSG00000088888	MAVS	261	0.000331628693228
ENSG00000162946	DISC1	262	0.000331598277131
ENSG00000169047	IRS1	263	0.000330786081314
ENSG00000124486	USP9X	264	0.000330655589594
ENSG00000152894	PTPRK	265	0.000329645179218
ENSG00000150457	LATS2	266	0.000327864688114
ENSG00000141570	CBX8	267	0.000327860829997
ENSG00000162434	JAK1	268	0.000327349827765
ENSG00000102125	TAZ	269	0.000327102467902
ENSG00000101665	SMAD7	270	0.000326334110712
ENSG00000215021	PHB2	271	0.000326262760662
ENSG00000196781	TLE1	272	0.000325856463832
ENSG00000087365	SF3B2	273	0.000325604078762
ENSG00000006125	AP2B1	274	0.000325034809914
ENSG00000138160	KIF11	275	0.000324012596109
ENSG00000198793	MTOR	276	0.000323914047081
ENSG00000151849	CENPJ	277	0.000323639126078
ENSG00000056558	TRAF1	278	0.000320793925918
ENSG00000149269	PAK1	279	0.000319599987476
ENSG00000118137	APOA1	280	0.000319374911982
ENSG00000180370	PAK2	281	0.000318002800976
ENSG00000196470	SIAH1	282	0.000317891191881
ENSG00000077782	FGFR1	283	0.000317264649827
ENSG00000183386	FHL3	284	0.000317262656886
ENSG00000147140	NONO	285	0.000316009444429
ENSG00000116016	EPAS1	286	0.000315543611176
ENSG00000077522	ACTN2	287	0.000315266246286
ENSG00000137693	YAP1	288	0.000315230684425
ENSG00000145604	SKP2	289	0.000315211787683
ENSG00000080839	RBL1	290	0.000313907842184
ENSG00000138069	RAB1A	291	0.000312637190008
ENSG00000114113	RBP2	292	0.000312131633694
ENSG00000161547	SRSF2	293	0.000310389079775
ENSG00000126215	XRCC3	294	0.000309922596434
ENSG00000144867	SRPRB	295	0.00030973616639
ENSG00000165637	VDAC2	296	0.000309453353946
ENSG00000112081	SRSF3	297	0.000308114103402
ENSG00000145386	CCNA2	298	0.000308025986037
ENSG00000130402	ACTN4	299	0.000307606622633
ENSG00000176903	PNMA1	300	0.000306738890318
ENSG00000120693	SMAD9	301	0.000305777079113
ENSG00000100387	RBX1	302	0.000303623368566
ENSG00000131323	TRAF3	303	0.000303483889657
ENSG00000184216	IRAK1	304	0.000303379493223
ENSG00000165732	DDX21	305	0.000302685546441
ENSG00000117399	CDC20	306	0.000302683795922
ENSG00000143549	TPM3	307	0.000302010687091
ENSG00000162191	UBXN1	308	0.000301884991796
ENSG00000163960	UBXN7	309	0.000301617816223
ENSG00000119408	NEK6	310	0.000300538237335
ENSG00000103496	STX4	311	0.000300142247151
ENSG00000148175	STOM	312	0.000300043535181
ENSG00000162231	NXF1	313	0.000299852348428
ENSG00000273841	TAF9	314	0.000299610683136
ENSG00000085231	TAF9	315	0.000299610683136
ENSG00000175054	ATR	316	0.000299365555884
ENSG00000108773	KAT2A	317	0.000298761382239
ENSG00000110092	CCND1	318	0.000298149771029
ENSG00000105810	CDK6	319	0.000297648695926
ENSG00000147133	TAF1	320	0.000297471142531
ENSG00000158485	CD1B	321	0.000296794991144
ENSG00000136937	NCBP1	322	0.000296701913002
ENSG00000167770	OTUB1	323	0.00029649223334
ENSG00000124164	VAPB	324	0.000295816060996
ENSG00000178568	ERBB4	325	0.00029518750902
ENSG00000182923	CEP63	326	0.000294206185704
ENSG00000111642	CHD4	327	0.000293505458408
ENSG00000115875	SRSF7	328	0.000293043720433
ENSG00000159352	PSMD4	329	0.000292681354569
ENSG00000125686	MED1	330	0.000292082232774
ENSG00000100211	CBY1	331	0.000291662724378
ENSG00000075218	GTSE1	332	0.00029157208233
ENSG00000105229	PIAS4	333	0.000291562239465
ENSG00000111641	NOP2	334	0.000291559426877
ENSG00000004897	CDC27	335	0.000291333591638
ENSG00000090447	TFAP4	336	0.000290816369964
ENSG00000143368	SF3B4	337	0.000290575285284
ENSG00000137309	HMGA1	338	0.000289946158254
ENSG00000105976	MET	339	0.000289874206334
ENSG00000149480	MTA2	340	0.000289660727902
ENSG00000075711	DLG1	341	0.000289557068769
ENSG00000117758	STX12	342	0.00028836828751
ENSG00000168439	STIP1	343	0.000288327569441
ENSG00000197299	BLM	344	0.000286349186118
ENSG00000123358	NR4A1	345	0.000286185047907
ENSG00000136754	ABI1	346	0.000286146080715
ENSG00000204371	EHMT2	347	0.000285642515028
ENSG00000126456	IRF3	348	0.000284769124401
ENSG00000136603	SKIL	349	0.000284506674264
ENSG00000118515	SGK1	350	0.000283985219667
ENSG00000196367	TRRAP	351	0.000283953881249
